sentence,fuel,machine,others,part,price,service
"tbh pajero miyos nyaman suspensinipun  , lan miyos lembat mesinipun   ",neutral,neutral,positive,neutral,neutral,neutral
 saking segi design interior  &  exterior fortuner miyos sae daripada pajero ,negative,neutral,neutral,neutral,neutral,neutral
" gua mboten lepat pilih pajero dakar , mesinipun   alus   tenaganipun  mantep ",positive,positive,neutral,neutral,neutral,neutral
" pajero miyos bertenaga , mesinipun   tanggen ",neutral,neutral,neutral,neutral,positive,neutral
 pajero lah miyos nyaman lan kiyat mesinipun   menawi damel offroad minggah redi   ,neutral,neutral,positive,neutral,neutral,neutral
 kula raos all new pajero miyos eca  daripada all new toyota fortuner ,neutral,neutral,neutral,negative,neutral,neutral
 nggih mesthi saking sedayanipun menang pajero lah ,neutral,neutral,neutral,neutral,neutral,positive
" dados   pangagem pajero sport dakar , saking iringaning mesin estu   luar biasa , saben  tarikanipun   dibarengi kaliyan suwanten turbonipun  ingkang merdu ",neutral,neutral,neutral,neutral,negative,neutral
 pajero mewah designipun   gw remen saking awal mundhut ,neutral,neutral,neutral,neutral,neutral,positive
 menawi gua sih pajero sport dakar .... amargi desain bodyipun   miyos kalem lan tenaganipun  mantab kagungan ... ,neutral,neutral,neutral,positive,neutral,neutral
 kula mah tetep pilih fortuner amargi sae   lan mewah ,positive,positive,neutral,neutral,neutral,neutral
 soal fiture lan kenyamanan lan safety midherek ane menang pajero tebih deh .. ,neutral,neutral,neutral,positive,neutral,neutral
 fortuner cacat wonten mesin lan transmisi ,neutral,neutral,neutral,neutral,neutral,positive
 miyos sae pajero daripada fortuner ,neutral,neutral,neutral,positive,neutral,neutral
 design wingking pajero estu  kirang sae   ,neutral,neutral,neutral,negative,negative,neutral
 kula pangagem pajero sport dakar 4x2 ingkang kantenan luar biasa ,neutral,neutral,neutral,neutral,positive,neutral
 kula   pilih pajero lah ,positive,positive,neutral,neutral,neutral,neutral
 saking segi body lan tenaga pajero miyos inggil ,positive,positive,neutral,positive,neutral,neutral
 menawi kula   piyambak si miyos remen fortuner ,neutral,neutral,neutral,positive,positive,neutral
 bahan besmi pajero sport miyos boros ,neutral,neutral,negative,neutral,neutral,neutral
 midherek kula desain wingking taksih sae   pajero ,neutral,positive,neutral,neutral,neutral,neutral
 pokokipun   tetep fortuner ingkang menang ,neutral,neutral,neutral,neutral,neutral,negative
 fortuner ringkih nanging pajero kiyat ,neutral,neutral,positive,neutral,positive,neutral
 menawi fortuner menang wonten interior mantul empun ,neutral,neutral,neutral,positive,neutral,neutral
 gua pilih eeeeeeee menapa nggih trd mawon deh soalipun   sae   ,neutral,neutral,neutral,negative,negative,neutral
 pajero sport fitur miyos canggih dipunbanding fortuner ,neutral,neutral,neutral,positive,positive,neutral
" pungkasanipun kula   mundhut pajero ckd mawon , awis  nanging fitur kawilujengan jangkep ",neutral,positive,neutral,neutral,neutral,neutral
 miyos gahar pajero dipunbanding fortuner ,neutral,neutral,negative,neutral,neutral,neutral
 tenaga pajero miyos ageng 181 ps daripada fortuner ,neutral,neutral,neutral,neutral,neutral,positive
 soal mesin xpander miyos lembat getaranipun   suwanten miyos alus ugi  ,neutral,neutral,neutral,neutral,neutral,positive
 mpv miyos dhateng kenyamanan sih .. badhe pilih pundi nggih napa menapa kersanipun pembeli .. ,neutral,neutral,neutral,negative,neutral,neutral
 rush tampilan kirang menarik ,positive,positive,positive,neutral,positive,neutral
 kula   pilih rush amargi lebetipun   keren ,neutral,neutral,positive,neutral,negative,neutral
" sampun seminggu kagungan lexi, dipunbandingaken ingkang sebelumn nggih kula tebih miyos nyaman. ",neutral,neutral,neutral,negative,neutral,neutral
 honda cbr motor nyaman lan gampil dikendalikan ,neutral,neutral,neutral,neutral,neutral,positive
 freed mobil favorit keluwargi kula. ,positive,neutral,neutral,neutral,neutral,neutral
 kerenipun   mboten wonten tandingan estu   wuling cortez . ,neutral,neutral,neutral,negative,neutral,neutral
 kaliyan sedayanipun sih kantenan wuling miyos sae   daripada mobilio ,neutral,neutral,neutral,neutral,neutral,negative
 aerox sadis bro mlajengipun lincah sayangipun   mboten mlebet indonesia ,negative,neutral,positive,neutral,neutral,neutral
